"Key","SourceString","Context","VariableDescription","Type","Tag"
"CreditsLangArabic_Section","Arabic","","","UI",""
"CreditsLangBulgarian_Section","Bulgarian","","","UI",""
"CreditsLangCatalan_Section","Catalan","","","UI",""
"CreditsLangChineseSimplified_Section","Chinese Simplified","","","UI",""
"CreditsLangChineseTraditional_Section","Chinese Traditional","","","UI",""
"CreditsLangCornish_Section","Cornish","","","UI",""
"CreditsLangCroatian_Section","Croatian","","","UI",""
"CreditsLangCzech_Section","Czech","","","UI",""
"CreditsLangDanish_Section","Danish","","","UI",""
"CreditsLangDutch_Section","Dutch","","","UI",""
"CreditsLangEnglishCanada_Section","English (Canada)","","","UI",""
"CreditsLangEnglishPirate_Section","English (Pirate)","","","UI",""
"CreditsLangEnglishShakespearean_Section","English (Shakespearean)","","","UI",""
"CreditsLangEnglishUnitedKingdom_Section","English (United Kingdom)","","","UI",""
"CreditsLangEsperanto_Section","Esperanto","","","UI",""
"CreditsLangFinnish_Section","Finnish","","","UI",""
"CreditsLangFrench_Section","French","","","UI",""
"CreditsLangGerman_Section","German","","","UI",""
"CreditsLangGreek_Section","Greek","","","UI",""
"CreditsLangHebrew_Section","Hebrew","","","UI",""
"CreditsLangHungarian_Section","Hungarian","","","UI",""
"CreditsLangIndonesian_Section","Indonesian","","","UI",""
"CreditsLangItalian_Section","Italian","","","UI",""
"CreditsLangJapanese_Section","Japanese","","","UI",""
"CreditsLangKorean_Section","Korean","","","UI",""
"CreditsLangLatvian_Section","Latvian","","","UI",""
"CreditsLangMaltese_Section","Maltese","","","UI",""
"CreditsLangNorwegian_Section","Norwegian","","","UI",""
"CreditsLangPersian_Section","Persian","","","UI",""
"CreditsLangPolish_Section","Polish","","","UI",""
"CreditsLangPortugueseBrazilian_Section","Portuguese (Brazilian)","","","UI",""
"CreditsLangPortuguese_Section","Portuguese","","","UI",""
"CreditsLangRomanian_Section","Romanian","","","UI",""
"CreditsLangRussian_Section","Russian","","","UI",""
"CreditsLangSerbianCyrillic_Section","Serbian (Cyrillic)","","","UI",""
"CreditsLangSerbianLatin_Section","Serbian (Latin)","","","UI",""
"CreditsLangSlovak_Section","Slovak","","","UI",""
"CreditsLangSpanish_Section","Spanish","","","UI",""
"CreditsLangSwedish_Section","Swedish","","","UI",""
"CreditsLangThai_Section","Thai","","","UI",""
"CreditsLangTurkish_Section","Turkish","","","UI",""
"CreditsLangUkrainian_Section","Ukrainian","","","UI",""
"CreditsLangVietnamese_Section","Vietnamese","","","UI",""
"Section/AdditionalDevelopment","Additional Development","","","UI","#interface"
"Section/AdditionalDevelopmentFrogsong","Additional Development - Frogsong","","","UI","#interface"
"Section/AdditionalPublishing","Additional Publishing","","","UI","#interface"
"Section/Animation","Animation","","","UI","#interface"
"Section/Art","Art","","","UI","#interface"
"Section/ArtDirector","Art Director","","","UI","#interface"
"Section/CoffeeStainPublishing","Coffee Stain Publishing","","","UI","#interface"
"Section/CommunityManagement","Community Management","","","UI","#interface"
"Section/CommunityTranslators","Early Access Community Translators","","","UI","#interface"
"Section/ConsoleFishlabs","Console Ports by Fishlabs GmbH","","","",""
"Section/DevBabies","Dev Babies","","","UI","#interface"
"Section/DevFurbabies","Dev Furbabies","","","UI","#interface"
"Section/ExternalQA/Greenlink","External Quality Assurance: Greenlink Group","","","UI","#interface"
"Section/ExternalQA/QLOC","External Quality Assurance: QLOC","","","UI","#interface"
"Section/Finance","Finance","","","UI","#interface"
"Section/GameDesign","Game Design","","","UI","#interface"
"Section/GameDirector","Game Director","","","UI","#interface"
"Section/HR","HR","","","UI","#interface"
"Section/IT","IT","","","UI","#interface"
"Section/Localization/EnglishProofreading","1.0 English Proofreading","","","",""
"Section/Localization/LionbridgeLQA","1.0 LQA and LCQA: Lionbridge Games","","","",""
"Section/Localization/LionbridgeLoc","1.0 and Console Localization: Lionbridge Games","","","",""
"Section/Music","Music","","","UI","#interface"
"Section/Narrative","Narrative","","","UI","#interface"
"Section/Production","Production","","","UI","#interface"
"Section/Programming","Programming","","","UI","#interface"
"Section/QA","Quality Assurance","","","UI","#interface"
"Section/Sound","Sound","","","UI","#interface"
"Section/SpecialThanks","Special Thanks","","","UI","#interface"
"Section/StudioManagement","Studio Management","","","UI","#interface"
"Section/TechArt","Tech Art","","","UI","#interface"
"Section/UI&UX","UI/UX","","","UI","#interface"
"Section/VFX","VFX","","","UI","#interface"
"Section/WebDevelopment","Web Development","","","",""
"Section/WorldAndLevelDesign","World & Level Design","","","UI","#interface"
"Trademark/UnrealEngine","<SmallText>Satisfactory uses Unreal® Engine. Unreal® is a trademark or registered trademark of Epic Games, Inc. in the United States of America and elsewhere.</> 
<SmallText>Unreal® Engine, Copyright 1998 – 2024, Epic Games, Inc. All rights reserved.</>","","","",""
"Trademark/Wwise","<SmallText>Powered by Wwise © 2006 – 2024 Audiokinetic Inc. All rights reserved.</>","","","UI","#interface"
